Node,Value
Matilda Russell,0.2555667001003009
Wesley Perez,0.3500506146059291
Nia Richardson,0.26431246655965757
Lauren Wright,0.2589070839528093
Kit Sanchez,0.2550711809397359
Sloane Murphy,0.26426052686164697
Elio Collins,0.2691768787669862
Daphne Young,0.2646100701808085
Evangeline Russell,0.39270591670857735
Sara Morris,0.2819766087321187
Dean Fisher,0.3015196811160937
Francis King,0.2568194115837162
Ruby Morales,0.26619891787269606
Nathan Carter,0.36035848270112547
Ira Turner,0.2649025465926874
Sophie Evans,0.2608489498582928
Kayla Miller,0.28066229158453726
Jean Adams,0.2562132181718108
Jade Cooper,0.25459364515077254
Jamie Powell,0.2708333333333333
Justin Nguyen,0.2608489498582928
Ezra Carter,0.259826968077113
Sofia Hall,0.26450597722752806
Natasha Torres,0.28180590481512524
Justin Sullivan,0.26362161161390096
Ali Garcia,0.3541374063670412
Rowan Wood,0.26152533033698155
Elio Bell,0.27141335426360935
James Nelson,0.25420329122165863
Zion Hall,0.35986560418648905
Ethan Russell,0.2956855272158702
Owen Murphy,0.2608489498582928
Sierra Rivera,0.25701028848093604
Parker Hughes,0.2592898077232071
Joel Wright,0.26116134043976436
Noa Gutierrez,0.27682032867124867
Finn Howard,0.25426737675815925
Clara Watson,0.28180590481512524
Isabelle Hughes,0.26362161161390096
Carter Gray,0.2539206327560344
Arden Bailey,0.25685211319913837
Ali Bailey,0.26482139926699855
Elio Nguyen,0.2608489498582928
Avyaan Phillips,0.2539206327560344
Alexander Adams,0.26116134043976436
Milo Morgan,0.25420329122165863
Ariana Flores,0.25459364515077254
Nevaeh Williams,0.25701028848093604
Keira Peterson,0.2646100701808085
Rich Russell,0.2562132181718108
Hazel Price,0.25333068204414394
Rae Foster,0.2667180871577324
Sawyer Peterson,0.25240086337236584
Vera Rogers,0.3576483798998242
Caleb Ortiz,0.2832966621412855
Sawyer Fisher,0.2606635581447939
Yara Bell,0.2690930920248127
Emily Flores,0.2819766087321187
Maverick Russell,0.287151381425199
Lilah Davis,0.25701028848093604
Natalie Walker,0.26299149292163276
Zane Russell,0.28063300678221553
Charles Taylor,0.2568194115837162
Harrison Gutierrez,0.26147730464277225
Anthony Wilson,0.26619891787269606
Zane Evans,0.27378946058748344
Daisy Wilson,0.26270036790640633
Rohan Foster,0.25459364515077254
Ophelia Lee,0.2555667001003009
Delilah Hill,0.3428174878556558
Zane King,0.25529985023308793
Silas Nelson,0.2608489498582928
Lisa Robinson,0.2568194115837162
Sofia Morales,0.2766874321312225
Elora Ortiz,0.2589070839528093
Delilah Howard,0.25333068204414394
Myles Young,0.25885447856959537
Lily Nguyen,0.25426737675815925
Celeste Fisher,0.2670859538784067
Gia Price,0.25177603727858044
Gemma Robinson,0.2704158008803092
Callum Clark,0.28430819826168663
Remi Reyes,0.26482139926699855
Ethan Cox,0.34305555555555556
Seraphina Cruz,0.25543185775338995
Ian Stewart,0.2708333333333333
Parker Walker,0.25543724871521584
Arthur Phillips,0.250836778893483
Max Sullivan,0.2705245982252621
Hunter Wilson,0.25426737675815925
Ali Brown,0.2650998258660154
Adam Carter,0.2541072234644495
Claire Wright,0.2562132181718108
Evie Morales,0.34922237931730965
William Nguyen,0.2588351030271923
Fiona Lewis,0.269707740476217
Seraphina Bell,0.266547740962197
Ronan Hall,0.26859742565468264
Cassius Ortiz,0.30539609644087257
Ryker Peterson,0.2568194115837162
Teagan Roberts,0.2589070839528093
Rayne Lewis,0.26482139926699855
Bryan Scott,0.250836778893483
Dante James,0.25459364515077254
Matthew Hernandez,0.26116134043976436
Aubrey Moore,0.2798866855524079
George Russell,0.35210263720598717
Hayden Butler,0.2577217507958647
Beau White,0.27687415642943747
Lydia Long,0.3637046608768819
Anaya Lee,0.2799870451338284
Emery Hernandez,0.28564348257062616
Ariana Walker,0.2568194115837162
Harlow Bell,0.2949181865808935
Edward Torres,0.25459364515077254
Kayden Carter,0.2773817981802764
Carter Carter,0.2577217507958647
Alexander Sanchez,0.3001252278278551
